Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,A*,Medium(30x30),Medium(15%),1.775,152,33,12768
1,A*,Medium(30x30),Medium(15%),1.600,133,32,10464
1,A*,Medium(30x30),Medium(15%),0.745,57,31,6960
1,A*,Medium(30x30),Medium(15%),1.200,58,33,6960
1,A*,Medium(30x30),Medium(15%),5.365,212,31,15024
1,A*,Medium(30x30),Medium(15%),0.980,62,33,7296
1,A*,Medium(30x30),Medium(15%),2.450,208,31,14592
1,A*,Medium(30x30),Medium(15%),1.050,62,33,8544
1,A*,Medium(30x30),Medium(15%),3.875,124,32,10032
1,A*,Medium(30x30),Medium(15%),1.905,151,32,11472
1,A*,Medium(30x30),Medium(15%),0.970,59,31,7440
1,A*,Medium(30x30),Medium(15%),1.190,104,32,9264
1,A*,Medium(30x30),Medium(15%),2.290,170,33,12480
1,A*,Medium(30x30),Medium(15%),0.895,59,31,7248
1,A*,Medium(30x30),Medium(15%),1.240,111,32,9216
1,A*,Medium(30x30),Medium(15%),0.625,46,31,6480
1,A*,Medium(30x30),Medium(15%),2.115,118,32,10128
1,A*,Medium(30x30),Medium(15%),1.915,169,33,12432
1,A*,Medium(30x30),Medium(15%),4.560,160,33,11424
1,A*,Medium(30x30),Medium(15%),1.790,178,33,12912
1,A*,Medium(30x30),Medium(15%),1.750,157,33,11856
1,A*,Medium(30x30),Medium(15%),1.925,123,33,10224
1,A*,Medium(30x30),Medium(15%),1.265,83,32,8208
1,A*,Medium(30x30),Medium(15%),1.145,55,31,6960
1,A*,Medium(30x30),Medium(15%),2.030,116,32,9744
1,A*,Medium(30x30),Medium(15%),1.605,123,32,10128
1,A*,Medium(30x30),Medium(15%),2.330,188,33,12960
1,A*,Medium(30x30),Medium(15%),0.980,95,32,8400
1,A*,Medium(30x30),Medium(15%),0.740,50,31,6960
1,A*,Medium(30x30),Medium(15%),0.880,64,31,7584
