Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,Dijkstra,Small(10x10),Small(10%),1.130,88,11,4224
1,Dijkstra,Small(10x10),Small(10%),1.345,90,10,4320
1,Dijkstra,Small(10x10),Small(10%),0.895,95,10,4560
1,Dijkstra,Small(10x10),Small(10%),0.495,89,11,4272
1,Dijkstra,Small(10x10),Small(10%),0.340,87,11,4176
1,Dijkstra,Small(10x10),Small(10%),0.650,88,10,4224
1,Dijkstra,Small(10x10),Small(10%),0.530,87,11,4176
1,Dijkstra,Small(10x10),Small(10%),0.600,92,11,4416
1,Dijkstra,Small(10x10),Small(10%),0.500,93,11,4464
1,Dijkstra,Small(10x10),Small(10%),0.830,83,11,3984
1,Dijkstra,Small(10x10),Small(10%),0.485,88,12,4224
1,Dijkstra,Small(10x10),Small(10%),0.675,91,11,4368
1,Dijkstra,Small(10x10),Small(10%),0.825,93,10,4464
1,Dijkstra,Small(10x10),Small(10%),0.745,94,12,4512
1,Dijkstra,Small(10x10),Small(10%),0.540,91,11,4368
1,Dijkstra,Small(10x10),Small(10%),0.615,88,11,4224
1,Dijkstra,Small(10x10),Small(10%),0.570,98,10,4704
1,Dijkstra,Small(10x10),Small(10%),0.222,91,10,4368
1,Dijkstra,Small(10x10),Small(10%),0.680,91,11,4368
1,Dijkstra,Small(10x10),Small(10%),0.485,88,10,4224
1,Dijkstra,Small(10x10),Small(10%),0.590,86,11,4128
1,Dijkstra,Small(10x10),Small(10%),0.535,91,11,4368
1,Dijkstra,Small(10x10),Small(10%),0.500,94,11,4512
1,Dijkstra,Small(10x10),Small(10%),0.620,94,10,4512
1,Dijkstra,Small(10x10),Small(10%),0.595,89,11,4272
1,Dijkstra,Small(10x10),Small(10%),0.520,89,11,4272
1,Dijkstra,Small(10x10),Small(10%),0.440,88,10,4224
1,Dijkstra,Small(10x10),Small(10%),0.620,93,11,4464
1,Dijkstra,Small(10x10),Small(10%),0.560,88,10,4224
1,Dijkstra,Small(10x10),Small(10%),0.630,89,11,4272
