Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,D*_Lite,Large(50x50),Large(20%),15.010,456,55,28608
1,D*_Lite,Large(50x50),Large(20%),12.645,352,54,25200
1,D*_Lite,Large(50x50),Large(20%),14.085,449,56,27264
1,D*_Lite,Large(50x50),Large(20%),13.525,478,55,30048
1,D*_Lite,Large(50x50),Large(20%),10.610,378,55,26784
1,D*_Lite,Large(50x50),Large(20%),18.845,580,56,34272
1,D*_Lite,Large(50x50),Large(20%),16.165,320,54,22752
1,D*_Lite,Large(50x50),Large(20%),12.270,476,55,29320
1,D*_Lite,Large(50x50),Large(20%),11.120,377,54,24768
1,D*_Lite,Large(50x50),Large(20%),8.275,310,54,21984
1,D*_Lite,Large(50x50),Large(20%),12.930,410,55,27024
1,D*_Lite,Large(50x50),Large(20%),12.730,445,54,27744
1,D*_Lite,Large(50x50),Large(20%),10.875,511,56,30816
1,D*_Lite,Large(50x50),Large(20%),6.070,187,53,17568
1,D*_Lite,Large(50x50),Large(20%),10.165,463,55,29088
1,D*_Lite,Large(50x50),Large(20%),11.035,433,54,28928
1,D*_Lite,Large(50x50),Large(20%),10.430,415,54,27120
1,D*_Lite,Large(50x50),Large(20%),4.000,293,54,20688
1,D*_Lite,Large(50x50),Large(20%),3.245,146,52,13920
1,D*_Lite,Large(50x50),Large(20%),53.070,1977,NULL,94896
1,D*_Lite,Large(50x50),Large(20%),9.925,427,55,28080
1,D*_Lite,Large(50x50),Large(20%),11.280,483,55,29616
1,D*_Lite,Large(50x50),Large(20%),9.220,398,54,25776
1,D*_Lite,Large(50x50),Large(20%),15.135,582,56,35136
1,D*_Lite,Large(50x50),Large(20%),13.565,554,56,33072
1,D*_Lite,Large(50x50),Large(20%),16.920,725,57,41040
1,D*_Lite,Large(50x50),Large(20%),9.620,400,55,25872
1,D*_Lite,Large(50x50),Large(20%),11.610,450,54,28032
1,D*_Lite,Large(50x50),Large(20%),6.035,329,54,24096
1,D*_Lite,Large(50x50),Large(20%),5.525,236,53,17328
