Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,A*,Small(10x10),Small(10%),1.800,19,11,2112
1,A*,Small(10x10),Small(10%),0.520,22,11,2304
1,A*,Small(10x10),Small(10%),0.540,22,11,2256
1,A*,Small(10x10),Small(10%),0.495,23,11,2304
1,A*,Small(10x10),Small(10%),0.415,27,11,2496
1,A*,Small(10x10),Small(10%),0.390,10,10,1968
1,A*,Small(10x10),Small(10%),0.200,25,11,2640
1,A*,Small(10x10),Small(10%),0.575,27,11,2592
1,A*,Small(10x10),Small(10%),0.395,24,11,2352
1,A*,Small(10x10),Small(10%),0.620,10,10,1920
1,A*,Small(10x10),Small(10%),0.380,10,10,2064
1,A*,Small(10x10),Small(10%),0.400,27,11,2640
1,A*,Small(10x10),Small(10%),0.260,10,10,1920
1,A*,Small(10x10),Small(10%),0.485,10,10,2112
1,A*,Small(10x10),Small(10%),0.660,39,12,3024
1,A*,Small(10x10),Small(10%),0.125,11,11,1776
1,A*,Small(10x10),Small(10%),0.310,22,11,2304
1,A*,Small(10x10),Small(10%),0.590,27,11,2544
1,A*,Small(10x10),Small(10%),0.250,10,10,2064
1,A*,Small(10x10),Small(10%),0.200,10,10,2064
1,A*,Small(10x10),Small(10%),0.275,10,10,1776
1,A*,Small(10x10),Small(10%),0.625,14,11,1872
1,A*,Small(10x10),Small(10%),0.455,25,11,2640
1,A*,Small(10x10),Small(10%),0.180,10,10,1920
1,A*,Small(10x10),Small(10%),0.210,10,10,1824
1,A*,Small(10x10),Small(10%),0.290,22,11,2016
1,A*,Small(10x10),Small(10%),0.275,10,10,1872
1,A*,Small(10x10),Small(10%),0.250,10,10,1920
1,A*,Small(10x10),Small(10%),0.410,25,11,2304
1,A*,Small(10x10),Small(10%),0.275,10,10,1872
