Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,D*_Lite,Medium(30x30),Medium(15%),6.745,150,32,11568
1,D*_Lite,Medium(30x30),Medium(15%),6.810,149,32,11568
1,D*_Lite,Medium(30x30),Medium(15%),4.825,127,32,10512
1,D*_Lite,Medium(30x30),Medium(15%),5.690,107,32,9648
1,D*_Lite,Medium(30x30),Medium(15%),5.870,141,33,12048
1,D*_Lite,Medium(30x30),Medium(15%),3.540,110,32,9408
1,D*_Lite,Medium(30x30),Medium(15%),4.390,127,32,11472
1,D*_Lite,Medium(30x30),Medium(15%),4.375,115,32,9792
1,D*_Lite,Medium(30x30),Medium(15%),4.430,124,32,9600
1,D*_Lite,Medium(30x30),Medium(15%),6.650,178,33,13008
1,D*_Lite,Medium(30x30),Medium(15%),5.600,185,34,13440
1,D*_Lite,Medium(30x30),Medium(15%),3.185,11,32,9792
1,D*_Lite,Medium(30x30),Medium(15%),5.100,138,32,10752
1,D*_Lite,Medium(30x30),Medium(15%),2.350,54,31,6864
1,D*_Lite,Medium(30x30),Medium(15%),9.355,256,34,16608
1,D*_Lite,Medium(30x30),Medium(15%),2.270,48,31,7152
1,D*_Lite,Medium(30x30),Medium(15%),4.960,116,32,10128
1,D*_Lite,Medium(30x30),Medium(15%),4.380,118,32,10560
1,D*_Lite,Medium(30x30),Medium(15%),7.895,204,33,13920
1,D*_Lite,Medium(30x30),Medium(15%),2.015,64,31,6818
1,D*_Lite,Medium(30x30),Medium(15%),3.695,124,32,10224
1,D*_Lite,Medium(30x30),Medium(15%),5.070,76,31,8064
1,D*_Lite,Medium(30x30),Medium(15%),6.115,149,32,11376
1,D*_Lite,Medium(30x30),Medium(15%),4.380,167,33,12432
1,D*_Lite,Medium(30x30),Medium(15%),6.970,161,33,11616
1,D*_Lite,Medium(30x30),Medium(15%),2.040,62,31,7488
1,D*_Lite,Medium(30x30),Medium(15%),3.330,126,32,10896
1,D*_Lite,Medium(30x30),Medium(15%),4.550,145,32,11184
1,D*_Lite,Medium(30x30),Medium(15%),4.170,104,32,9312
1,D*_Lite,Medium(30x30),Medium(15%),7.050,132,32,9888
