Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,BFS,Medium(30x30),Medium(15%),4.310,757,32,36336
1,BFS,Medium(30x30),Medium(15%),4.790,744,33,35712
1,BFS,Medium(30x30),Medium(15%),4.775,777,33,37296
1,BFS,Medium(30x30),Medium(15%),4.760,768,32,36912
1,BFS,Medium(30x30),Medium(15%),4.715,785,32,37680
1,BFS,Medium(30x30),Medium(15%),4.130,775,31,37200
1,BFS,Medium(30x30),Medium(15%),4.145,759,33,36432
1,BFS,Medium(30x30),Medium(15%),3.905,762,32,36576
1,BFS,Medium(30x30),Medium(15%),4.105,756,32,36288
1,BFS,Medium(30x30),Medium(15%),4.995,771,32,37008
1,BFS,Medium(30x30),Medium(15%),3.550,774,32,37152
1,BFS,Medium(30x30),Medium(15%),3.220,777,33,37296
1,BFS,Medium(30x30),Medium(15%),3.520,777,31,37296
1,BFS,Medium(30x30),Medium(15%),3.335,767,33,36816
1,BFS,Medium(30x30),Medium(15%),3.100,774,34,37152
1,BFS,Medium(30x30),Medium(15%),3.045,744,32,35712
1,BFS,Medium(30x30),Medium(15%),4.005,757,32,36336
1,BFS,Medium(30x30),Medium(15%),3.480,758,32,36384
1,BFS,Medium(30x30),Medium(15%),4.105,779,32,37392
1,BFS,Medium(30x30),Medium(15%),3.690,773,32,37104
1,BFS,Medium(30x30),Medium(15%),3.685,782,33,37536
1,BFS,Medium(30x30),Medium(15%),3.010,744,32,35760
1,BFS,Medium(30x30),Medium(15%),4.940,749,32,35952
1,BFS,Medium(30x30),Medium(15%),3.435,748,31,36144
1,BFS,Medium(30x30),Medium(15%),3.265,773,32,37200
1,BFS,Medium(30x30),Medium(15%),3.165,772,31,37056
1,BFS,Medium(30x30),Medium(15%),3.225,758,33,36384
1,BFS,Medium(30x30),Medium(15%),3.630,765,33,36720
1,BFS,Medium(30x30),Medium(15%),3.680,771,31,37248
1,BFS,Medium(30x30),Medium(15%),3.555,761,32,36528
