Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,Dijkstra,Medium(30x30),Medium(15%),4.645,770,32,36960
1,Dijkstra,Medium(30x30),Medium(15%),6.765,780,32,37440
1,Dijkstra,Medium(30x30),Medium(15%),4.510,765,33,36720
1,Dijkstra,Medium(30x30),Medium(15%),5.405,773,32,37104
1,Dijkstra,Medium(30x30),Medium(15%),4.500,787,32,37776
1,Dijkstra,Medium(30x30),Medium(15%),5.845,785,32,37680
1,Dijkstra,Medium(30x30),Medium(15%),4.520,760,34,36480
1,Dijkstra,Medium(30x30),Medium(15%),11.105,766,32,36768
1,Dijkstra,Medium(30x30),Medium(15%),5.470,762,32,36576
1,Dijkstra,Medium(30x30),Medium(15%),3.860,769,33,36816
1,Dijkstra,Medium(30x30),Medium(15%),2.695,779,33,37392
1,Dijkstra,Medium(30x30),Medium(15%),3.880,759,33,36432
1,Dijkstra,Medium(30x30),Medium(15%),6.035,767,31,36816
1,Dijkstra,Medium(30x30),Medium(15%),3.590,756,32,36288
1,Dijkstra,Medium(30x30),Medium(15%),5.475,774,32,37152
1,Dijkstra,Medium(30x30),Medium(15%),3.840,747,32,35856
1,Dijkstra,Medium(30x30),Medium(15%),5.140,753,34,36144
1,Dijkstra,Medium(30x30),Medium(15%),4.670,752,31,36096
1,Dijkstra,Medium(30x30),Medium(15%),4.440,755,32,36240
1,Dijkstra,Medium(30x30),Medium(15%),3.460,779,32,37392
1,Dijkstra,Medium(30x30),Medium(15%),3.920,752,34,36336
1,Dijkstra,Medium(30x30),Medium(15%),4.100,758,32,36384
1,Dijkstra,Medium(30x30),Medium(15%),3.340,766,33,36768
1,Dijkstra,Medium(30x30),Medium(15%),4.310,773,32,37104
1,Dijkstra,Medium(30x30),Medium(15%),4.615,766,32,36768
1,Dijkstra,Medium(30x30),Medium(15%),3.705,755,32,36240
1,Dijkstra,Medium(30x30),Medium(15%),6.240,761,32,36528
1,Dijkstra,Medium(30x30),Medium(15%),4.530,772,31,37056
1,Dijkstra,Medium(30x30),Medium(15%),3.705,763,33,36624
1,Dijkstra,Medium(30x30),Medium(15%),3.760,756,33,36288
