Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,BFS,Large(50x50),Large(20%),11.020,1978,55,94944
1,BFS,Large(50x50),Large(20%),12.145,2020,55,97008
1,BFS,Large(50x50),Large(20%),10.700,2021,52,97056
1,BFS,Large(50x50),Large(20%),10.380,2008,54,96528
1,BFS,Large(50x50),Large(20%),11.095,1977,56,94896
1,BFS,Large(50x50),Large(20%),11.015,1970,53,94560
1,BFS,Large(50x50),Large(20%),12.935,1984,55,95280
1,BFS,Large(50x50),Large(20%),16.160,2013,55,96672
1,BFS,Large(50x50),Large(20%),10.110,2008,56,96384
1,BFS,Large(50x50),Large(20%),10.950,1997,54,96048
1,BFS,Large(50x50),Large(20%),23.745,1994,56,95712
1,BFS,Large(50x50),Large(20%),13.825,2038,53,97824
1,BFS,Large(50x50),Large(20%),11.660,2012,53,96720
1,BFS,Large(50x50),Large(20%),12.470,1988,54,95424
1,BFS,Large(50x50),Large(20%),15.095,1972,56,94656
1,BFS,Large(50x50),Large(20%),14.425,1985,54,95328
1,BFS,Large(50x50),Large(20%),15.435,1987,54,95424
1,BFS,Large(50x50),Large(20%),26.770,1984,54,95232
1,BFS,Large(50x50),Large(20%),10.790,2017,54,96960
1,BFS,Large(50x50),Large(20%),15.685,1979,54,95040
1,BFS,Large(50x50),Large(20%),22.530,1949,56,93552
1,BFS,Large(50x50),Large(20%),13.455,2003,57,96144
1,BFS,Large(50x50),Large(20%),11.795,2002,54,96096
1,BFS,Large(50x50),Large(20%),9.640,1998,55,95904
1,BFS,Large(50x50),Large(20%),17.660,1996,54,95808
1,BFS,Large(50x50),Large(20%),11.135,1992,54,95616
1,BFS,Large(50x50),Large(20%),13.685,1991,54,95568
1,BFS,Large(50x50),Large(20%),10.610,1994,56,95856
1,BFS,Large(50x50),Large(20%),15.445,2025,53,97296
1,BFS,Large(50x50),Large(20%),11.850,2023,53,97104
