Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,BFS,Small(10x10),Small(10%),0.220,86,11,4128
1,BFS,Small(10x10),Small(10%),0.415,92,11,4416
1,BFS,Small(10x10),Small(10%),1.065,86,11,4272
1,BFS,Small(10x10),Small(10%),0.400,80,10,4272
1,BFS,Small(10x10),Small(10%),0.395,91,11,4416
1,BFS,Small(10x10),Small(10%),0.425,91,11,4368
1,BFS,Small(10x10),Small(10%),0.330,89,11,4272
1,BFS,Small(10x10),Small(10%),0.530,86,NULL,4128
1,BFS,Small(10x10),Small(10%),0.700,85,10,4464
1,BFS,Small(10x10),Small(10%),0.535,83,10,4416
1,BFS,Small(10x10),Small(10%),0.425,88,11,4224
1,BFS,Small(10x10),Small(10%),0.815,87,11,4224
1,BFS,Small(10x10),Small(10%),0.300,83,10,4368
1,BFS,Small(10x10),Small(10%),0.555,86,11,4176
1,BFS,Small(10x10),Small(10%),0.550,93,11,4464
1,BFS,Small(10x10),Small(10%),0.630,82,10,4320
1,BFS,Small(10x10),Small(10%),0.450,88,10,4224
1,BFS,Small(10x10),Small(10%),0.325,91,10,4368
1,BFS,Small(10x10),Small(10%),2.840,88,10,4224
1,BFS,Small(10x10),Small(10%),0.430,93,10,4464
1,BFS,Small(10x10),Small(10%),0.510,96,10,4608
1,BFS,Small(10x10),Small(10%),0.465,91,11,4368
1,BFS,Small(10x10),Small(10%),0.425,91,11,4368
1,BFS,Small(10x10),Small(10%),0.475,88,11,4224
1,BFS,Small(10x10),Small(10%),0.310,90,10,4320
1,BFS,Small(10x10),Small(10%),0.345,94,11,4512
1,BFS,Small(10x10),Small(10%),0.480,86,10,4128
1,BFS,Small(10x10),Small(10%),0.415,91,10,4368
1,BFS,Small(10x10),Small(10%),0.300,85,11,4080
1,BFS,Small(10x10),Small(10%),0.400,91,10,4368
