Experiment,Algorithm,Grid_Size,Density,Execution_Time,Nodes_Expanded,Path_Length,Memory_B
1,D*_Lite,Small(10x10),Small(10%),3.060,20,11,2304
1,D*_Lite,Small(10x10),Small(10%),1.435,16,11,2064
1,D*_Lite,Small(10x10),Small(10%),1.560,27,11,2640
1,D*_Lite,Small(10x10),Small(10%),1.100,26,11,2696
1,D*_Lite,Small(10x10),Small(10%),0.765,10,10,1920
1,D*_Lite,Small(10x10),Small(10%),0.595,10,10,1872
1,D*_Lite,Small(10x10),Small(10%),0.585,10,10,1968
1,D*_Lite,Small(10x10),Small(10%),0.635,16,11,2160
1,D*_Lite,Small(10x10),Small(10%),0.635,10,10,1920
1,D*_Lite,Small(10x10),Small(10%),0.535,10,10,1920
1,D*_Lite,Small(10x10),Small(10%),0.975,10,10,1968
1,D*_Lite,Small(10x10),Small(10%),0.795,22,11,2400
1,D*_Lite,Small(10x10),Small(10%),0.490,10,10,2064
1,D*_Lite,Small(10x10),Small(10%),0.935,26,11,2592
1,D*_Lite,Small(10x10),Small(10%),0.755,23,12,1968
1,D*_Lite,Small(10x10),Small(10%),0.895,23,11,2352
1,D*_Lite,Small(10x10),Small(10%),0.915,20,11,2208
1,D*_Lite,Small(10x10),Small(10%),1.020,21,11,2256
1,D*_Lite,Small(10x10),Small(10%),0.555,10,10,1920
1,D*_Lite,Small(10x10),Small(10%),0.695,10,10,1920
1,D*_Lite,Small(10x10),Small(10%),1.460,25,11,2400
1,D*_Lite,Small(10x10),Small(10%),0.715,10,10,1920
1,D*_Lite,Small(10x10),Small(10%),1.205,25,11,2400
1,D*_Lite,Small(10x10),Small(10%),1.060,26,11,2496
1,D*_Lite,Small(10x10),Small(10%),1.240,18,11,2160
1,D*_Lite,Small(10x10),Small(10%),0.830,10,10,1824
1,D*_Lite,Small(10x10),Small(10%),0.655,10,10,1920
1,D*_Lite,Small(10x10),Small(10%),0.910,17,11,2112
1,D*_Lite,Small(10x10),Small(10%),0.925,21,11,2304
1,D*_Lite,Small(10x10),Small(10%),0.765,10,10,1920
